Texto,Classe
"[8] A Wikipédia é um projeto de enciclopédia multilíngue de licença livre,[5][6] baseado na web e escrito de maneira colaborativa.",Portuguese
[21] Sua confiabilidade e precisão também são alvo de críticas.,Portuguese
"Em cada edição há editoriais, notícias e artigos sobre questões de interesse geral para cientistas, incluindo assuntos atuais, o financiamento da ciência, negócios, ética científica e descobertas de pesquisa.",Portuguese
"A palavra ""Wikipédia"" é uma adequação lusófona da forma original anglófona sobre a fusão dos dois nomes que formam o termo.",Portuguese
"[28] A Nupedia foi fundada em 9 de março de 2000, sob a posse da Bomis, uma empresa de portal web.",Portuguese
"[6] O projeto encontra-se sob administração da Fundação Wikimedia,[7] uma organização sem fins lucrativos cuja missão é ""empoderar e engajar pessoas pelo mundo para coletar e desenvolver conteúdo educacional sob uma licença livre ou no domínio público, e para disseminá-lo efetivamente e globalmente"".",Portuguese
"[10] Em 2010, tinha cerca de 365 milhões de leitores.",Portuguese
"[26] Outra pesquisa de 2011 realizada pelo ForeSee Results e divulgada pela CNET mostrou que, em uma escala de satisfação de 0 a 100, os internautas atribuíram 78 pontos à Wikipédia, um resultado maior que o de outros sites consagrados, como YouTube e Facebook.",Portuguese
"[30][31] Embora Wales seja creditado por definir o objetivo de fazer uma enciclopédia editável publicamente,[32][33] Sanger é geralmente creditado pela estratégia de usar um wiki para alcançar esse objetivo.",Portuguese
"Em português, o prefixo ""Wiki"" é somado ao sufixo de ""enciclopédia"", ganhando acento diacrítico agudo no e, para atender à gramática lusófona.",Portuguese
"Quando a revista Time reconheceu ""Você"" como a Pessoa do Ano de 2006, devido ao sucesso acelerado da colaboração online e da interação de milhões de usuários ao redor do mundo, citou a Wikipédia como um dos vários exemplos de serviços da Web 2.0, juntamente com YouTube, MySpace e Facebook.",Portuguese
"Por outro lado, inicialmente havia relativamente poucas regras e a Wikipédia operava independentemente da Nupedia.",Portuguese
"[35] A Wikipédia foi formalmente lançada em 15 de janeiro de 2001, como uma única edição em inglês em www.wikipedia.com[36] e anunciada por Sanger na lista de discussão da Nupedia.",Portuguese
"[13] A Wikipédia é uma ferramenta de pesquisa amplamente utilizada por estudantes e tem influenciado o trabalho de publicitários, pedagogos, sociólogos e jornalistas, que usam seu material, mesmo que nem sempre citem suas fontes.",Portuguese
"Há muitas áreas de investigação em que novos e importantes avanços e pesquisas originais são publicados, tanto como artigos quanto como cartas.",Portuguese
"[nota 2] Em janeiro de 2020, havia edições ativas da Wikipédia em 299 idiomas.",Portuguese
"[32] A política do ""ponto de vista neutro"" da Wikipédia""[nota 3] foi codificada em seus meses iniciais e era semelhante à política anterior da Nupedia de ""não-parcialidade"".",Portuguese
"Em 2007, a Nature (em conjunto com a Science) recebeu o Prêmio Princesa das Astúrias de Comunicação e Humanidade.",Portuguese
"Suas principais figuras eram Jimmy Wales, CEO da Bomis, e Larry Sanger, editor-chefe da Nupedia e posteriormente da Wikipédia.",Portuguese
"A Nupedia foi licenciada inicialmente sob sua própria licença de conteúdo aberto, a mudança para a GNU Free Documentation License aconteceu antes da fundação da Wikipédia, a pedido de Richard Stallman.",Portuguese
[3] A Nature tem um público on-line de cerca de 3 milhões de leitores únicos por mês.,Portuguese
"A Wikipédia afasta-se do estilo tradicional de construção de uma enciclopédia, possuindo uma grande presença de conteúdo não acadêmico.",Portuguese
